,Age of Members of 117th Congress,Title,Party,Age,Birthday,Number of Terms,Committee List
D-WI,Sen Tammy Baldwin ,US Senator,Democrat,60,2/11/1962,5,"Conference Secretary, Member | Appropriations, HELP, Commerce"
R-WY,Sen John Barrasso ,US Senator,Republican,69,7/21/1952,3,"Chairman | Energy (Ranking Member), Finance, Foreign Relations"
D-CO,Sen Michael Bennet ,US Senator,Democrat,57,11/28/1964,4,"Member | Finance, Intelligence, Agriculture"
R-TN,Sen Marsha Blackburn ,US Senator,Republican,69,6/6/1952,4,"Judiciary, Armed Services, Commerce, Veterans' Affairs"
D-CT,Sen Dick Blumenthal ,US Senator,Democrat,76,2/13/1946,3,"Member | Judiciary, Armed Services, Commerce, Veterans' Affairs, Aging"
R-MO,Outgoing Sen Roy Blunt ,US Senator,Republican,72,1/10/1950,5,"Chairman, Deputy Minority Whip | Senate Rules (Ranking Member), Appropriations, Intelligence, Commerce, Printing, Library"
D-NJ,Sen Cory Booker ,US Senator,Democrat,52,4/27/1969,3,"Chief Deputy Majority Whip, Vice Chair | Foreign Relations, Judiciary, Small Business, Agriculture"
R-AR,Sen John Boozman ,US Senator,Republican,71,12/10/1950,5,"Agriculture (Ranking Member), Appropriations, Environment, Veterans' Affairs"
R-IN,Sen Mike Braun ,US Senator,Republican,67,3/24/1954,1,"Appropriations, Budget, HELP, Agriculture, Aging"
R-AL,Sen elect Katie Britt ,US Senator,Republican,40,2/2/1982,1,
D-OH,Sen Sherrod Brown ,US Senator,Democrat,69,11/9/1952,6,"Member | Banking (Chair), Finance, Agriculture, Veterans' Affairs"
R-NC,Sen elect Ted Budd ,US Senator,Republican,50,10/21/1971,1,Financial Services
R-NC,Outgoing Sen Richard Burr ,US Senator,Republican,66,11/30/1955,5,"HELP (Ranking Member), Finance, Intelligence, Aging"
D-WA,Sen Maria Cantwell ,US Senator,Democrat,63,10/13/1958,4,"Member | Commerce (Chair), Finance, Energy, Small Business, Indian Affairs, Taxation"
R-WV,Sen Shelley Capito ,US Senator,Republican,68,11/26/1953,5,"Counsel to the Minority Leader, Deputy Minority Whip, Vice Chair | Environment (Ranking Member), Appropriations, Commerce, Senate Rules"
D-MD,Sen Ben Cardin ,US Senator,Democrat,78,10/5/1943,7,"Member | Small Business (Chair), Finance, Foreign Relations, Environment"
D-DE,Sen Tom Carper ,US Senator,Democrat,75,1/23/1947,4,"Deputy Whip, Member | Environment (Chair), Finance, Homeland Security"
D-PA,Sen Bob Casey ,US Senator,Democrat,61,4/13/1960,3,"Member | Aging (Chair), Finance, HELP, Intelligence"
R-LA,Sen Bill Cassidy ,US Senator,Republican,64,9/28/1957,3,"Finance, Energy, HELP, Veterans' Affairs, Economy"
R-ME,Sen Susan Collins ,US Senator,Republican,69,12/7/1952,5,"Appropriations, HELP, Intelligence, Aging"
D-DE,Sen Chris Coons ,US Senator,Democrat,58,9/9/1963,3,"Member | Ethics (Chair), Appropriations, Foreign Relations, Judiciary, Small Business"
R-TX,Sen John Cornyn ,US Senator,Republican,70,2/2/1952,5,"Finance, Judiciary, Intelligence"
D-NV,Sen Catherine Cortez Masto ,US Senator,Democrat,57,3/29/1964,2,"Member, Vice Chair of Outreach | Finance, Banking, Energy, Indian Affairs"
R-AR,Sen Tom Cotton ,US Senator,Republican,44,5/13/1977,3,"Judiciary, Armed Services, Intelligence, Economy"
R-ND,Sen Kevin Cramer ,US Senator,Republican,61,1/21/1961,2,"Banking, Budget, Armed Services, Environment, Veterans' Affairs"
R-ID,Sen Mike Crapo ,US Senator,Republican,70,5/20/1951,6,"Chair, Chief Deputy Minority Whip | Finance (Ranking Member), Banking, Budget, Taxation"
R-TX,Sen Ted Cruz ,US Senator,Republican,51,12/22/1970,2,"Foreign Relations, Judiciary, Commerce, Senate Rules, Economy"
R-MT,Sen Steve Daines ,US Senator,Republican,59,8/20/1962,3,"Chairman | Finance, Banking, Energy, Indian Affairs"
D-IL,Sen Tammy Duckworth ,US Senator,Democrat,54,3/12/1968,3,"Member | Armed Services, Small Business, Commerce, Environment"
