Age of Members of 117th Congress,Title,Party,Age,Birthday,Number of Terms,Committee List
Sen. Tammy Baldwin (D-WI),US Senator,Democrat,60,2/11/1962,5,"Conference Secretary, Member | Appropriations, HELP, Commerce"
Sen. John Barrasso (R-WY),US Senator,Republican,69,7/21/1952,3,"Chairman | Energy (Ranking Member), Finance, Foreign Relations"
Sen. Michael Bennet (D-CO),US Senator,Democrat,57,11/28/1964,4,"Member | Finance, Intelligence, Agriculture"
Sen. Marsha Blackburn (R-TN),US Senator,Republican,69,6/6/1952,4,"Judiciary, Armed Services, Commerce, Veterans' Affairs"
Sen. Dick Blumenthal (D-CT),US Senator,Democrat,76,2/13/1946,3,"Member | Judiciary, Armed Services, Commerce, Veterans' Affairs, Aging"
Outgoing Sen. Roy Blunt (R-MO),US Senator,Republican,72,1/10/1950,5,"Chairman, Deputy Minority Whip | Senate Rules (Ranking Member), Appropriations, Intelligence, Commerce, Printing, Library"
Sen. Cory Booker (D-NJ),US Senator,Democrat,52,4/27/1969,3,"Chief Deputy Majority Whip, Vice Chair | Foreign Relations, Judiciary, Small Business, Agriculture"
Sen. John Boozman (R-AR),US Senator,Republican,71,12/10/1950,5,"Agriculture (Ranking Member), Appropriations, Environment, Veterans' Affairs"
Sen. Mike Braun (R-IN),US Senator,Republican,67,3/24/1954,1,"Appropriations, Budget, HELP, Agriculture, Aging"
Sen.-elect Katie Britt (R-AL),US Senator,Republican,40,2/2/1982,1,
Sen. Sherrod Brown (D-OH),US Senator,Democrat,69,11/9/1952,6,"Member | Banking (Chair), Finance, Agriculture, Veterans' Affairs"
Sen.-elect Ted Budd (R-NC),US Senator,Republican,50,10/21/1971,1,Financial Services
Outgoing Sen. Richard Burr (R-NC),US Senator,Republican,66,11/30/1955,5,"HELP (Ranking Member), Finance, Intelligence, Aging"
Sen. Maria Cantwell (D-WA),US Senator,Democrat,63,10/13/1958,4,"Member | Commerce (Chair), Finance, Energy, Small Business, Indian Affairs, Taxation"
Sen. Shelley Capito (R-WV),US Senator,Republican,68,11/26/1953,5,"Counsel to the Minority Leader, Deputy Minority Whip, Vice Chair | Environment (Ranking Member), Appropriations, Commerce, Senate Rules"
Sen. Ben Cardin (D-MD),US Senator,Democrat,78,10/5/1943,7,"Member | Small Business (Chair), Finance, Foreign Relations, Environment"
Sen. Tom Carper (D-DE),US Senator,Democrat,75,1/23/1947,4,"Deputy Whip, Member | Environment (Chair), Finance, Homeland Security"
Sen. Bob Casey (D-PA),US Senator,Democrat,61,4/13/1960,3,"Member | Aging (Chair), Finance, HELP, Intelligence"
Sen. Bill Cassidy (R-LA),US Senator,Republican,64,9/28/1957,3,"Finance, Energy, HELP, Veterans' Affairs, Economy"
Sen. Susan Collins (R-ME),US Senator,Republican,69,12/7/1952,5,"Appropriations, HELP, Intelligence, Aging"
Sen. Chris Coons (D-DE),US Senator,Democrat,58,9/9/1963,3,"Member | Ethics (Chair), Appropriations, Foreign Relations, Judiciary, Small Business"
Sen. John Cornyn (R-TX),US Senator,Republican,70,2/2/1952,5,"Finance, Judiciary, Intelligence"
Sen. Catherine Cortez Masto (D-NV),US Senator,Democrat,57,3/29/1964,2,"Member, Vice Chair of Outreach | Finance, Banking, Energy, Indian Affairs"
Sen. Tom Cotton (R-AR),US Senator,Republican,44,5/13/1977,3,"Judiciary, Armed Services, Intelligence, Economy"
Sen. Kevin Cramer (R-ND),US Senator,Republican,61,1/21/1961,2,"Banking, Budget, Armed Services, Environment, Veterans' Affairs"
Sen. Mike Crapo (R-ID),US Senator,Republican,70,5/20/1951,6,"Chair, Chief Deputy Minority Whip | Finance (Ranking Member), Banking, Budget, Taxation"
Sen. Ted Cruz (R-TX),US Senator,Republican,51,12/22/1970,2,"Foreign Relations, Judiciary, Commerce, Senate Rules, Economy"
Sen. Steve Daines (R-MT),US Senator,Republican,59,8/20/1962,3,"Chairman | Finance, Banking, Energy, Indian Affairs"
Sen. Tammy Duckworth (D-IL),US Senator,Democrat,54,3/12/1968,3,"Member | Armed Services, Small Business, Commerce, Environment"
Whip Dick Durbin (D-IL),US Senator,Democrat,77,11/21/1944,8,"Ex-Officio Member, Member, Senate Majority Whip | Judiciary (Chair), Appropriations, Agriculture"
Sen. Joni Ernst (R-IA),US Senator,Republican,51,7/1/1970,2,"Chair, Vice Chair | Armed Services, Small Business, Environment, Agriculture"
Sen. Dianne Feinstein (D-CA),US Senator,Democrat,88,6/22/1933,6,"Member | Appropriations, Judiciary, Intelligence, Senate Rules"
Sen.-elect John Fetterman (D-PA),US Senator,Democrat,53,8/15/1969,1,President of the Senate
Sen. Deb Fischer (R-NE),US Senator,Republican,71,3/1/1951,2,"Counsel to the Minority Leader, Deputy Minority Whip | Armed Services, Commerce, Agriculture, Senate Rules, Ethics"
Sen. Kirsten Gillibrand (D-NY),US Senator,Democrat,55,12/9/1966,3,"Member | Armed Services, Intelligence, Agriculture, Aging"
Sen. Lindsey Graham (R-SC),US Senator,Republican,66,7/9/1955,6,"Budget (Ranking Member), Appropriations, Judiciary, Environment"
Sen. Chuck Grassley (R-IA),US Senator,Republican,88,9/17/1933,9,"President Pro Tempore Emeritus | Judiciary (Ranking Member), Finance, Budget, Agriculture, Taxation"
Sen. Bill Hagerty (R-TN),US Senator,Republican,62,8/14/1959,1,"Appropriations, Banking, Foreign Relations, Senate Rules"
Sen. Maggie Hassan (D-NH),US Senator,Democrat,64,2/27/1958,2,"Chair | Finance, HELP, Homeland Security, Veterans' Affairs, Economy"
Sen. Josh Hawley (R-MO),US Senator,Republican,42,12/31/1979,1,"Judiciary, Armed Services, Homeland Security, Small Business"
Sen. Martin Heinrich (D-NM),US Senator,Democrat,50,10/17/1971,3,"Member | Economy (Vice Chair), Appropriations, Energy, Intelligence"
Sen. John Hickenlooper (D-CO),US Senator,Democrat,70,2/7/1952,1,"Energy, HELP, Small Business, Commerce"
Sen. Mazie Hirono (D-HI),US Senator,Democrat,74,11/3/1947,3,"Member | Judiciary, Armed Services, Energy, Small Business, Veterans' Affairs"
Sen. John Hoeven (R-ND),US Senator,Republican,65,3/13/1957,3,"Appropriations, Energy, Agriculture, Indian Affairs"
Sen. Cindy Hyde-Smith (R-MS),US Senator,Republican,62,5/10/1969,2,"Appropriations, Energy, Agriculture, Senate Rules"
Outgoing Sen. Jim Inhofe (R-OK),US Senator,Republican,87,11/17/1934,7,"Armed Services (Ranking Member), Small Business, Environment"
Sen. Ron Johnson (R-WI),US Senator,Republican,66,4/8/1955,3,"Budget, Foreign Relations, Homeland Security, Commerce"
Sen. Tim Kaine (D-VA),US Senator,Democrat,64,2/26/1958,2,"Member | Budget, Foreign Relations, Armed Services, HELP"
Sen. Mark Kelly (D-AZ),US Senator,Democrat,58,2/21/1964,2,"Armed Services, Energy, Environment, Aging, Economy"
Sen. John Kennedy (R-LA),US Senator,Republican,70,11/21/1951,2,"Appropriations, Banking, Budget, Judiciary, Small Business"
Sen. Angus King (I-ME),US Senator,Independent,77,3/31/1944,2,"Armed Services, Energy, Intelligence, Senate Rules, Printing"
Sen. Amy Klobuchar (D-MN),US Senator,Democrat,61,5/25/1960,3,"Chair, Chair of the Steering Committee, Member | Senate Rules (Chair), Printing (Chair), Library (Vice Chair), Judiciary, Commerce, Agriculture, Economy"
Sen. James Lankford (R-OK),US Senator,Republican,54,3/4/1968,3,"Deputy Minority Whip | Ethics (Ranking Member), Finance, Energy, Homeland Security, Indian Affairs"
Outgoing Sen. Patrick Leahy (D-VT),US Senator,Democrat,81,3/31/1940,8,"Member, President Pro Tempore | Appropriations (Chair), Judiciary, Agriculture, Senate Rules, Library"
Sen. Mike Lee (R-UT),US Senator,Republican,50,6/4/1971,3,"Chairman | Economy (Ranking Member), Judiciary, Energy, Commerce, Aging"
Sen. Ben Luján (D-NM),US Senator,Democrat,49,6/7/1972,3,"Budget, HELP, Commerce, Agriculture, Indian Affairs"
Sen. Cynthia Lummis (R-WY),US Senator,Republican,67,9/10/1954,1,"Banking, Commerce, Environment"
Sen. Joe Manchin (D-WV),US Senator,Democrat,74,8/24/1947,3,"Vice Chair, Vice Chair of the Senate Democratic Policy and Communications Committee | Energy (Chair), Appropriations, Armed Services, Veterans' Affairs"
Sen. Ed Markey (D-MA),US Senator,Democrat,75,7/11/1946,9,"Member | Foreign Relations, Small Business, Commerce, Environment"
Sen. Roger Marshall (R-KS),US Senator,Republican,61,8/9/1960,2,"Energy, HELP, Small Business, Agriculture"
Leader Mitch McConnell (R-KY),US Senator,Republican,80,2/20/1942,7,"Senate Minority Leader | Appropriations, Agriculture, Senate Rules"
Sen. Bob Menendez (D-NJ),US Senator,Democrat,68,1/1/1954,6,"Chair | Foreign Relations (Chair), Finance, Banking"
Sen. Jeff Merkley (D-OR),US Senator,Democrat,65,10/24/1956,3,"Chief Deputy Majority Whip, Member | Appropriations, Budget, Foreign Relations, Environment, Senate Rules"
Sen. Jerry Moran (R-KS),US Senator,Republican,67,5/29/1954,6,"Veterans' Affairs (Ranking Member), Appropriations, Banking, HELP, Commerce, Indian Affairs"
Sen.-elect Markwayne Mullin (R-OK),US Senator,Republican,44,7/26/1977,1,"Member | Energy, Intelligence"
Sen. Lisa Murkowski (R-AK),US Senator,Republican,64,5/22/1957,5,"Indian Affairs (Ranking Member), Appropriations, Energy, HELP"
Sen. Chris Murphy (D-CT),US Senator,Democrat,48,8/3/1973,3,"Member | Appropriations, Foreign Relations, HELP"
Sen. Patty Murray (D-WA),US Senator,Democrat,71,10/11/1950,6,"Assistant Majority Leader, Ex-Officio Member, Member | HELP (Chair), Appropriations, Budget, Veterans' Affairs"
Sen. Jon Ossoff (D-GA),US Senator,Democrat,35,2/16/1987,1,"Banking, Judiciary, Homeland Security, Senate Rules"
Sen. Alex Padilla (D-CA),US Senator,Democrat,48,3/22/1973,2,"Budget, Judiciary, Homeland Security, Environment, Senate Rules, Printing"
Sen. Rand Paul (R-KY),US Senator,Republican,59,1/7/1963,3,"Small Business (Ranking Member), Foreign Relations, HELP, Homeland Security"
Sen. Gary Peters (D-MI),US Senator,Democrat,63,12/1/1958,3,"Chair | Homeland Security (Chair), Armed Services, Commerce"
Outgoing Sen. Rob Portman (R-OH),US Senator,Republican,66,12/19/1955,2,"Counsel to the Minority Leader, Deputy Minority Whip | Homeland Security (Ranking Member), Finance, Foreign Relations, Economy"
Sen. Jack Reed (D-RI),US Senator,Democrat,72,11/12/1949,6,"Member, Regional Chair | Armed Services (Chair), Appropriations, Banking"
Sen. Jim Risch (R-ID),US Senator,Republican,78,5/3/1943,3,"Foreign Relations (Ranking Member), Energy, Intelligence, Small Business, Ethics"
Sen. Mitt Romney (R-UT),US Senator,Republican,75,3/12/1947,1,"Budget, Foreign Relations, HELP, Homeland Security"
Sen. Jacky Rosen (D-NV),US Senator,Democrat,64,8/2/1957,2,"Armed Services, HELP, Homeland Security, Small Business, Commerce, Aging"
Sen. Mike Rounds (R-SD),US Senator,Republican,67,10/24/1954,2,"Banking, Foreign Relations, Armed Services, Indian Affairs, Veterans' Affairs"
